,Lecture,Concepts,Reviewer#1 Concepts,Reviewer#2 Concepts,,Consolidated Student Concepts,TA Bhavya Concepts,TA Assma Concepts
Text Retrieval and Search Engines,Text Retrieval and Search Engines,(enter concept terms covered in lecture separated by a semicolon  ; in this column. Must include at least 3 concepts per lecture) SAMPLE: concept A; concept B; concept C,reviewer enters list of concepts covered in lecture separated by a semicolon ; in this column IF there are suggested edits the reviewer sees. This column can remain empty if the reviewer agrees with the initial editor's concept list.,,,#TODO automatically consolidate student and reviewer suggested concepts,,
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=8c6b7d5c-a376-489a-8232-324ca5992eb2,Lecture 1,Lexical Analysis(POS tagging);Semantic Analysis(Parsing);Syntactical ambiguities;Prepositional Phrase attachment ambiguity,Pragmatic Analysis; State of the art of NLP; Shallow vs Deep NLP; Text Retrieval; Bag of words; Suggestion: Add concept surrounded by parentheses as their own concepts,"Introduction to NLP; Lexical, Semantic & Pragmatic Analysis 
of text; Challenges in Parsing; Bag of words representation",,,,Overview of NLP; Lexical analysis; Part of speech tagging; Syntactic analysis; Parsing; Semantic analysis; Inference; Pragmatic analysis; Ambiguity; NLP techniques for Text retrieval; Bag of words
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=8c6b7d5c-a376-489a-8232-324ca5992eb3,Lecture 2,Relevant text data; pull mode; push mode; search engines; recommender systems;querying; browsing;information seeking; sightseeing;text access;,,Text Access; Push vs Pull Modes of Text Access; Querying vs Browsing; Reccomender Systems; Information Seeking as Sightseeing,,,,Text access; Pull mode; Push mode; Querying; Browsing; 
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=8c6b7d5c-a376-489a-8232-324ca5992eb4,Lecture 3,Definition of text retrieval; Text Retrieval vs. Database Retrieval; Formal Formulation of Text Retrieval,Looks good :),Looks good!,,,,Text retrieval problem definition; Vocabulary; Query; Document; Collection; Document selection; Document Ranking; Absolute Relevance; Relative Relevance; Probability ranking principle
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=8c6b7d5c-a376-489a-8232-324ca5992eb5,Lecture 4,Designing Ranking Functions; Types of Models; Common Ideas in Models; Choosing the Best Model; ,Looks good!,Looks good!,,,,Ranking function; Retrieval model; Similarity based models; Probabilistic models; Probabilistic inference models; Axiomatic models; Term frequency; Document length; Document frequency
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=8c6b7d5c-a376-489a-8232-324ca5992eb6,Lecture 5,Vector space model framework; Similarity based models; Document ranking functions,Vector Space Model; VSM Illustration; What VSM Lacks; ,Looks good!,,,,Vector space model; 
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=8c6b7d5c-a376-489a-8232-324ca5992eb7,Lecture 6,Vector Space Model; Bit Vector; how to define Vector Space Model; Similarity function example; BOW with VSM; Simplest VSM (BOW + bit vector + dot product),Looks good!,"Vector Space Model,Simplest instantiation,Bag of Words,Bit Vector,Similarity Instantiation,Dot Product",,,,
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=8c6b7d5c-a376-489a-8232-324ca5992eb8,Lecture 7,Problems with simplest VSM; Improved VSM Instantiation; Term Frequency Weighting; IDF Weighting,Vector Space Model: improved instantiation;Term Frequency Vector;Term Frequency Weighting;Dot Product;Stop Word;Inverse Document Frequency,Looks good!,,,,
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=8c6b7d5c-a376-489a-8232-324ca5992eb9,Lecture 8,TF transformation; Ranking function with TF-IDF weighting; BM25 Transformation; Reasons for using Sublinear TF transformation,Looks good!,Vector Space Model with TF-IDF; Term frequency weight;,,,,
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=8c6b7d5c-a376-489a-8232-324ca5992eb10,Lecture 9,Document Length Normalization; Pivoted Length Normalization; BM25/Okapi; BM25+; Improved VSM,Looks good!,Looks good!,,,,
https://classtranscribe.illinois.edu/offering/248bb7af-03d7-4ee6-abed-13642dae9c09#plid=8c6b7d5c-a376-489a-8232-324ca5992eb11,Lecture 10,Typical TR System Architecture; Tokenization;Indexing;Inverted Index;Inverted Index for Fast Search;Empirical Distribution of Words;Zipf’s Law;Data Structures for Inverted Index,"Typical TR System Architecture; 
Three parts of search engine: Indexer, Scorer and Feedback; mechanism
Tokenization;Indexing;
Inverted Index Implementation;
Inverted Index query variation support for fast search;
Empirical Distribution of Words;
Zipf’s Law;
Stop and rare word distribution
Data Structures for Inverted Index Dictionary and Postings;","Looks Good
Consice and Sufficient",,,,
